real_steps,return,policy_loss,value_loss,entropy_loss,model_s_loss,model_r_loss,imag_p_loss,imag_v_loss,imag_e_loss
6775,12.0,0.04658786952495575,15.095250129699707,-0.6874648928642273,1.0009522156906314e-05,1.6586593119427562e-05,-0.011788638308644295,2.0666911602020264,-0.6886317133903503
6795,20.0,-0.037967950105667114,41.609375,-0.6888651847839355,1.175516354123829e-05,2.217828659922816e-05,-0.00019751071522478014,1.9547197818756104,-0.683933675289154
6832,37.0,-0.018842361867427826,97.67303466796875,-0.6880633234977722,1.113302490315012e-05,1.9173147544885676e-05,0.005878164898604155,2.0113093852996826,-0.6841472387313843
6853,21.0,-0.02595275640487671,44.141048431396484,-0.691897451877594,1.2166214825507874e-05,2.735952754543784e-05,0.00020289418171159923,1.9608556032180786,-0.6864728331565857
6867,14.0,-0.01325624343007803,20.593515396118164,-0.687414288520813,1.205409413766271e-05,2.528371927231395e-05,0.00245082494802773,1.859160304069519,-0.6895201802253723
6879,12.0,0.03394215926527977,14.858548164367676,-0.6771891117095947,1.0804040054305611e-05,1.9200292020589888e-05,0.007124599535018206,1.9706878662109375,-0.6846820712089539
6906,27.0,-0.010405045002698898,65.41384887695312,-0.6869902610778809,1.2123132364649791e-05,2.0219997168169357e-05,-0.03199261054396629,1.840553641319275,-0.6841146349906921
6922,16.0,-0.005072981119155884,27.001968383789062,-0.6836917996406555,1.1638249816314783e-05,1.7503037573381636e-05,0.003460486652329564,1.9466603994369507,-0.6865253448486328
6952,30.0,-0.022224165499210358,75.96377563476562,-0.6894794702529907,1.2539745512185618e-05,2.2648614807015594e-05,0.002320267027243972,1.7400621175765991,-0.6849694848060608
6965,13.0,0.003097648499533534,17.716136932373047,-0.6831875443458557,1.0535096407693345e-05,1.7067399615674123e-05,0.001637412584386766,2.0834405422210693,-0.6879355907440186
6983,18.0,0.007506273221224546,33.86170959472656,-0.6809977293014526,1.0009272349028228e-05,1.8638641449797433e-05,0.028298968449234962,2.1000490188598633,-0.686130702495575
6998,15.0,-0.0277692973613739,24.488309860229492,-0.6822022795677185,1.0050328758855661e-05,2.0130494400897685e-05,-0.017256150022149086,2.0524344444274902,-0.6881612539291382
7020,22.0,-0.03188931196928024,48.026554107666016,-0.6917725205421448,1.1187056467557946e-05,2.404206194720852e-05,0.028922436758875847,1.9851242303848267,-0.6866357922554016
7035,15.0,-0.0219221580773592,23.101367950439453,-0.6906066536903381,1.0804747944348492e-05,2.170583866245579e-05,0.0026348752435296774,2.235896110534668,-0.6889523863792419
7070,35.0,-0.015623502433300018,91.01663970947266,-0.6911028027534485,9.740940792350253e-06,2.1549426492128987e-05,-0.011808756738901138,1.9124269485473633,-0.6865269541740417
7082,12.0,0.028957851231098175,14.6350736618042,-0.6875054240226746,1.0685765725308253e-05,1.9627779693109915e-05,0.01017291285097599,1.8105790615081787,-0.685338020324707
7108,26.0,-0.02634371444582939,61.672264099121094,-0.6771370768547058,9.44979577373791e-06,1.645688795785342e-05,0.031613245606422424,1.995416283607483,-0.6861439943313599
7121,13.0,-0.017490394413471222,17.79218292236328,-0.6914501190185547,1.00181326464129e-05,1.8067741317887947e-05,0.002982442732900381,1.8496062755584717,-0.6833116412162781
7162,41.0,-0.010721840895712376,107.0616683959961,-0.6901407241821289,1.1575716295434782e-05,3.362520025499786e-05,0.006074330769479275,1.9932368993759155,-0.6843928694725037
7181,19.0,-0.0037863836623728275,36.734622955322266,-0.6923847198486328,1.0471804368232066e-05,2.0544905055430718e-05,-0.0017091352492570877,1.8100261688232422,-0.6880434155464172
7201,20.0,-0.028537290170788765,40.622127532958984,-0.6857579350471497,1.0150245240462633e-05,1.6166425060267404e-05,0.024508999660611153,1.8220264911651611,-0.6907093524932861
7213,12.0,0.014306402765214443,14.327995300292969,-0.6884727478027344,9.830905582930427e-06,1.9579357892022624e-05,-0.02062893472611904,1.8153026103973389,-0.688144862651825
7232,19.0,-0.027355359867215157,36.73838424682617,-0.6906086206436157,1.1623693959942708e-05,2.236337301534756e-05,-0.011087736114859581,1.9314745664596558,-0.6889680027961731
7271,39.0,-0.017909234389662743,100.96974182128906,-0.6898173689842224,9.998467248806264e-06,1.9099676137557253e-05,0.005009761545807123,1.9208588600158691,-0.6909249424934387
7297,26.0,-0.015692638233304024,60.59215545654297,-0.6924105286598206,1.0006358024838846e-05,1.8760574675980024e-05,0.003842996433377266,1.975933313369751,-0.6914660334587097
7311,14.0,0.007216511759907007,20.43885612487793,-0.6917964816093445,9.456604857405182e-06,1.8081238522427157e-05,-0.0046167015098035336,2.2018849849700928,-0.6924006342887878
7325,14.0,0.08851923048496246,21.1065673828125,-0.6738568544387817,8.901824912754819e-06,1.759811129886657e-05,-0.003056817688047886,1.923068881034851,-0.6916460394859314
7373,48.0,-0.009215003810822964,125.35201263427734,-0.6910976767539978,1.0135908572313687e-05,1.6207761594462983e-05,0.018788114190101624,1.9194488525390625,-0.689887285232544
7401,28.0,-0.025484217330813408,69.25609588623047,-0.6901100873947144,1.0183006452280097e-05,2.0439475520106498e-05,-0.022810036316514015,2.0428545475006104,-0.6884406805038452
